epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.7516,2.72432,3.80448,2.05935,0.00013,0.00076,6e-05,1e-05,nan,nan,nan,0.0824,0.00195556,0.00195556
2,142.382,2.45827,2.77729,1.78203,0.00965,0.006,0.00505,0.0018,nan,nan,nan,0.0643804,0.00393598,0.00393598
3,212.675,2.35385,2.38618,1.76311,0.23259,0.0481,0.08316,0.04996,nan,nan,nan,0.046341,0.0058966,0.0058966
4,281.508,2.20019,2.25656,1.70628,0.14562,0.07082,0.07298,0.03458,2.44731,7.58524,2.24684,0.0282819,0.00783742,0.00783742
5,349.408,2.17035,2.20378,1.69356,0.20078,0.0597,0.08874,0.04778,2.17776,inf,1.92845,0.0102029,0.00975844,0.00975844
6,418.228,2.14042,2.08151,1.68082,0.23938,0.06023,0.11204,0.06329,2.23691,inf,2.09996,0.0097525,0.0097525,0.0097525
7,455.665,2.05279,2.03001,1.65891,0.3795,0.13125,0.11972,0.06999,2.06976,4.08824,1.93716,0.009703,0.009703,0.009703
8,515.499,2.02747,2.01079,1.6646,0.32977,0.11822,0.13172,0.08044,1.90582,6.9308,1.71755,0.0096535,0.0096535,0.0096535
9,548.504,1.98671,1.95867,1.60906,0.43846,0.13352,0.19019,0.11606,1.94922,3.58813,1.90974,0.009604,0.009604,0.009604
10,587.695,1.94066,1.88253,1.61068,0.48173,0.14794,0.16757,0.10058,1.82781,3.05302,1.69826,0.0095545,0.0095545,0.0095545
11,617.911,1.88773,1.78113,1.56607,0.4959,0.1661,0.19586,0.12504,1.70093,2.35537,1.66195,0.009505,0.009505,0.009505
12,649.298,1.85947,1.76872,1.54391,0.49995,0.17084,0.23436,0.15306,1.65479,2.48391,1.58561,0.0094555,0.0094555,0.0094555
13,679.101,1.86809,1.74836,1.51715,0.52497,0.18036,0.23559,0.15196,1.65402,2.1648,1.60174,0.009406,0.009406,0.009406
14,706.588,1.78521,1.67746,1.53296,0.5286,0.15244,0.19861,0.12964,1.73452,2.16126,1.61536,0.0093565,0.0093565,0.0093565
15,733.759,1.80355,1.69357,1.54284,0.43187,0.19802,0.21899,0.13398,1.70195,1.94225,1.55356,0.009307,0.009307,0.009307
16,766.382,1.79799,1.61311,1.5181,0.43331,0.19673,0.21546,0.13746,1.66626,2.20098,1.57454,0.0092575,0.0092575,0.0092575
17,794.716,1.75623,1.66629,1.5217,0.6825,0.17687,0.23665,0.15595,1.63941,2.21037,1.56378,0.009208,0.009208,0.009208
18,822.623,1.77117,1.6089,1.486,0.53492,0.19052,0.23702,0.15735,1.56164,1.86997,1.5611,0.0091585,0.0091585,0.0091585
19,855.398,1.76476,1.60376,1.47936,0.57238,0.18753,0.23359,0.15261,1.57276,2.6065,1.5288,0.009109,0.009109,0.009109
20,880.535,1.73323,1.59132,1.47443,0.601,0.21186,0.244,0.16408,1.47021,1.57377,1.48413,0.0090595,0.0090595,0.0090595
21,903.669,1.72755,1.53579,1.44322,0.50639,0.22614,0.25251,0.1687,1.49772,1.58745,1.49349,0.00901,0.00901,0.00901
22,933.244,1.72056,1.57727,1.4563,0.61927,0.22163,0.27921,0.19079,1.49124,2.02277,1.47706,0.0089605,0.0089605,0.0089605
23,958.478,1.70859,1.54117,1.44214,0.55821,0.22023,0.24794,0.16174,1.54146,1.63784,1.47403,0.008911,0.008911,0.008911
24,989.225,1.67207,1.5204,1.44829,0.64478,0.2276,0.30653,0.20477,1.50805,2.05422,1.49151,0.0088615,0.0088615,0.0088615
25,1013.61,1.67835,1.49528,1.43285,0.57197,0.22829,0.27004,0.17831,1.51931,1.53103,1.50898,0.008812,0.008812,0.008812
26,1042.32,1.69935,1.48778,1.41465,0.51921,0.23281,0.27701,0.18631,1.44217,1.78029,1.46445,0.0087625,0.0087625,0.0087625
27,1076.24,1.70662,1.52661,1.43338,0.5662,0.20471,0.26827,0.18368,1.48396,2.29735,1.51482,0.008713,0.008713,0.008713
28,1097.72,1.65122,1.41965,1.41452,0.60447,0.24549,0.28034,0.18791,1.42031,1.37985,1.47628,0.0086635,0.0086635,0.0086635
29,1120.02,1.63886,1.44187,1.41243,0.58044,0.25879,0.28748,0.19056,1.43789,1.34887,1.40585,0.008614,0.008614,0.008614
30,1146.83,1.65602,1.45664,1.42582,0.60629,0.25023,0.28592,0.18801,1.46829,1.53795,1.50747,0.0085645,0.0085645,0.0085645
31,1172.24,1.64094,1.44545,1.39755,0.56625,0.25992,0.29106,0.19814,1.40141,1.52962,1.42016,0.008515,0.008515,0.008515
32,1194.66,1.61803,1.37266,1.37188,0.60532,0.25644,0.29502,0.20085,1.4155,1.31159,1.43303,0.0084655,0.0084655,0.0084655
33,1218.33,1.63781,1.39713,1.40231,0.60836,0.24047,0.29648,0.20179,1.43509,1.59579,1.44786,0.008416,0.008416,0.008416
34,1247.46,1.68051,1.43499,1.39189,0.58612,0.25274,0.29507,0.20114,1.40553,1.61123,1.42547,0.0083665,0.0083665,0.0083665
35,1271.61,1.61188,1.40259,1.38772,0.60416,0.25878,0.29655,0.20466,1.36713,1.46278,1.45764,0.008317,0.008317,0.008317
36,1294.14,1.60261,1.36695,1.37026,0.62034,0.26771,0.30093,0.20222,1.41198,1.36241,1.39486,0.0082675,0.0082675,0.0082675
37,1315.47,1.59947,1.40378,1.39382,0.60065,0.26239,0.30498,0.20527,1.41656,1.36405,1.39809,0.008218,0.008218,0.008218
38,1339.47,1.593,1.37853,1.42009,0.60008,0.26891,0.31106,0.20857,1.39278,1.41187,1.4733,0.0081685,0.0081685,0.0081685
39,1362.21,1.5957,1.36428,1.39337,0.64413,0.26352,0.30942,0.21168,1.40183,1.31593,1.43746,0.008119,0.008119,0.008119
40,1385.64,1.56629,1.33754,1.39002,0.57205,0.26749,0.32713,0.22781,1.30697,1.40678,1.46893,0.0080695,0.0080695,0.0080695
41,1410.11,1.57931,1.33359,1.37677,0.49844,0.29184,0.3128,0.21599,1.37883,1.30875,1.42738,0.00802,0.00802,0.00802
42,1431.74,1.59764,1.35458,1.37911,0.58284,0.29572,0.32026,0.21822,1.36339,1.2785,1.3904,0.0079705,0.0079705,0.0079705
43,1455.75,1.57092,1.30673,1.37727,0.63871,0.27678,0.32227,0.21786,1.35942,1.39699,1.40587,0.007921,0.007921,0.007921
44,1478.02,1.59113,1.37673,1.38052,0.60276,0.27406,0.32245,0.21983,1.35253,1.33007,1.44574,0.0078715,0.0078715,0.0078715
45,1500.24,1.57217,1.31978,1.35817,0.62302,0.29156,0.3306,0.22413,1.32581,1.21181,1.37858,0.007822,0.007822,0.007822
46,1522.46,1.57834,1.32219,1.36333,0.63105,0.2885,0.35103,0.24108,1.33656,1.29911,1.41451,0.0077725,0.0077725,0.0077725
47,1547.13,1.56666,1.30769,1.34707,0.57967,0.27929,0.33789,0.23304,1.32615,1.33622,1.36273,0.007723,0.007723,0.007723
48,1569.33,1.55176,1.29449,1.36082,0.54398,0.29103,0.33957,0.23809,1.31522,1.27867,1.38892,0.0076735,0.0076735,0.0076735
49,1591.25,1.52449,1.28105,1.33984,0.67879,0.28412,0.34236,0.23587,1.32447,1.25918,1.35914,0.007624,0.007624,0.007624
50,1613.61,1.53346,1.2739,1.35717,0.54385,0.30133,0.33907,0.23574,1.30324,1.20347,1.3766,0.0075745,0.0075745,0.0075745
51,1636.61,1.53503,1.25346,1.33504,0.61748,0.29851,0.33531,0.22869,1.33899,1.36746,1.39434,0.007525,0.007525,0.007525
52,1658.94,1.53094,1.25471,1.33442,0.65374,0.30714,0.35906,0.24826,1.29627,1.24279,1.35053,0.0074755,0.0074755,0.0074755
